"","Team1","Team2","Goal_Team_1","Goal_Team_2","Hasil"
"106","Bayern Munich","Real Madrid",1,2,"Team 2 Menang"
"107","Real Madrid","Bayern Munich",2,2,"Imbang"
"108","Liverpool","Roma",5,2,"Team 1 Menang"
"109","Roma","Liverpool",4,2,"Team 1 Menang"
"110","Sevilla","Bayern Munich",1,2,"Team 2 Menang"
"111","Bayern Munich","Sevilla",0,0,"Imbang"
"112","Barcelona","Roma",4,1,"Team 1 Menang"
"113","Roma","Barcelona",3,0,"Team 1 Menang"
"114","Juventus","Real Madrid",0,3,"Team 2 Menang"
"115","Real Madrid","Juventus",1,3,"Team 2 Menang"
"116","Liverpool","Manchester City",3,0,"Team 1 Menang"
"117","Manchester City","Liverpool",1,2,"Team 2 Menang"
"118","Bayern Munich","Beşiktaş",5,0,"Team 1 Menang"
"119","Beşiktaş","Bayern Munich",1,3,"Team 2 Menang"
"120","Sevilla","Manchester Utd",0,0,"Imbang"
"121","Manchester Utd","Sevilla",1,2,"Team 2 Menang"
"122","Chelsea","Barcelona",1,1,"Imbang"
"123","Barcelona","Chelsea",3,0,"Team 1 Menang"
"124","Juventus","Tottenham",2,2,"Imbang"
"125","Tottenham","Juventus",1,2,"Team 2 Menang"
"126","Real Madrid","Paris S-G",3,1,"Team 1 Menang"
"127","Paris S-G","Real Madrid",1,2,"Team 2 Menang"
"128","Porto","Liverpool",0,5,"Team 2 Menang"
"129","Liverpool","Porto",0,0,"Imbang"
"130","Basel","Manchester City",0,4,"Team 2 Menang"
"131","Manchester City","Basel",1,2,"Team 2 Menang"
"132","Shakhtar","Roma",2,1,"Team 1 Menang"
"133","Roma","Shakhtar",1,0,"Team 1 Menang"
"134","Real Madrid","Juventus",4,1,"Team 1 Menang"
"135","Real Madrid","Atlético Madrid",3,0,"Team 1 Menang"
"136","Atlético Madrid","Real Madrid",2,1,"Team 1 Menang"
"137","Monaco","Juventus",0,2,"Team 2 Menang"
"138","Juventus","Monaco",2,1,"Team 1 Menang"
"139","Bayern Munich","Real Madrid",1,2,"Team 2 Menang"
"140","Real Madrid","Bayern Munich",4,2,"Team 1 Menang"
"141","Juventus","Barcelona",3,0,"Team 1 Menang"
"142","Barcelona","Juventus",0,0,"Imbang"
"143","Atlético Madrid","Leicester City",1,0,"Team 1 Menang"
"144","Leicester City","Atlético Madrid",1,1,"Imbang"
"145","Dortmund","Monaco",2,3,"Team 2 Menang"
"146","Monaco","Dortmund",3,1,"Team 1 Menang"
"147","Bayern Munich","Arsenal",5,1,"Team 1 Menang"
"148","Arsenal","Bayern Munich",1,5,"Team 2 Menang"
"149","Paris S-G","Barcelona",4,0,"Team 1 Menang"
"150","Barcelona","Paris S-G",6,1,"Team 1 Menang"
"151","Real Madrid","Napoli",3,1,"Team 1 Menang"
"152","Napoli","Real Madrid",1,3,"Team 2 Menang"
"153","Porto","Juventus",0,2,"Team 2 Menang"
"154","Juventus","Porto",1,0,"Team 1 Menang"
"155","Sevilla","Leicester City",2,1,"Team 1 Menang"
"156","Leicester City","Sevilla",2,0,"Team 1 Menang"
"157","Benfica","Dortmund",1,0,"Team 1 Menang"
"158","Dortmund","Benfica",4,0,"Team 1 Menang"
"159","Manchester City","Monaco",5,3,"Team 1 Menang"
"160","Monaco","Manchester City",3,1,"Team 1 Menang"
"161","Leverkusen","Atlético Madrid",2,4,"Team 2 Menang"
"162","Atlético Madrid","Leverkusen",0,0,"Imbang"
"163","Real Madrid","Atlético Madrid",1,1,"Imbang"
"164","Atlético Madrid","Bayern Munich",1,0,"Team 1 Menang"
"165","Bayern Munich","Atlético Madrid",2,1,"Team 1 Menang"
"166","Manchester City","Real Madrid",0,0,"Imbang"
"167","Real Madrid","Manchester City",1,0,"Team 1 Menang"
